question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
Which one of the following statements is false?,mmlu_pro,law,1576,Protocol 14 abolished the Commission of Human Rights,Protocol 14 shortened the judicial term of office for the European Court of Human Rights,858
"A company contracted with a builder to construct a new corporate headquarters for a fixed price of $100 million. At the time of the contract, structural steel was widely available and was included in the contract as a $6 million item. Before work began on the project, tornado damage shut down the production facility of the biggest structural steel supplier in the country, and the price of structural steel increased by 20% as a result. The builder informed the company of the steel price increase, and the parties then orally agreed to increase the project price to $101 million. The builder proceeded with construction and delivered the project on time. The company paid the builder $100 million but refused to pay the additional $1 million. If the builder sues the company for $1 million, is the builder likely to prevail?",mmlu_pro,law,1190,"Yes, because the modification was fair and equitable in view of the unanticipated increase in the price of structural steel.","Yes, because the company was aware of the price increase and verbally agreed to it.",859
"A rancher, being owner in fee simpleconveyed the property by warranty deed to a woman. The woman gave her niece a mortgage on the ranch to secure a loan from the niece to the woman in the amount of $500,000. The mortgage was recorded immediately. Two years later, the woman conveyed the ranch to a farmer by quitclaim deed. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. Assume that the woman's quitclaim deed to the farmer made no reference to the mortgage. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. The mortgagee will probably",mmlu_pro,law,1313,"not succeed, because the farmer did not promise to pay the mortgage debt.","succeed, because the mortgage was recorded immediately.",860
"In 1993, a rancher had good record title to a 20-acre orange grove in fee simple absolute. In 1994, the rancher delivered to his son, for a sum of $1,000, a deed signed by the rancher, naming the son and his heirs as grantee, and appearing valid on its face. The son neglected to record the deed. In 1998, a farmer, aware of the existence of the rancher-to-son deed, sought out the rancher and asked to buy for $10,000 a deed to the orange grove from the rancher to the fanner and his heirs. The rancher executed such a deed, and the fanner promptly recorded it. The farmer's intent was to acquire color of title and obtain ownership of the orange grove by adverse possession. In 1998, the farmer constructed a fence around the orange grove. In 1999, the son presented his deed of the orange grove to a retiree, and for $15,000, paid by the retiree, signed and delivered a deed of the orange grove in favor of the retiree and his heirs. After receiving the deed, the retiree made no effort to search the title, to examine the property, or to record the deed. In 2003, a buyer paid the fanner $20,000, and the farmer delivered to the buyer a deed of the orange grove in favor of the buyer and his heirs. The buyer had examined the property, had searched the title, and had no knowledge of the farmer's awareness of the prior rancher-to-son instrument. Although the buyer did not reside on the property, he regularly visited the orange grove twice a week. The buyer recorded his deed. In 2007 for $25,000 paid by an orange grower, the retiree signed and delivered adeed of the orange grove naming the orange grower and his heirs as grantees. Before the grower had paid the retiree and taken his deed, the grower visited the orange grove and observed the fence. However, the buyer was not present when the grower visited the property and nothing suggested who if anyone was using it. In any case, the grower did not attempt to search the title before making his purchase. This jurisdiction uses Grantor Grantee Indices and has no Tract Index. In 2008, what is the present state of title to the orange grove if the jurisdiction's recording act provides: ""Every conveyance of real property shall be invalid as against any person, except the grantor, his heirs, and assigns, having actual notice thereof, unless it is recorded as provided by statute""?",mmlu_pro,law,1569,"In a notice jurisdiction, the grower, as a subsequent bonafide purchaser, is only chargeable with notice of what appears in his chain of title and, therefore, would acquire record title to the orange grove.","In a notice jurisdiction, the rancher retains record title to the orange grove, as he never properly conveyed his title.",861
"A patent holder brought a patent infringement action in federal court against a licensee of the patent. The patent holder believed that a jury would be more sympathetic to his claims than a judge, and asked his lawyer to obtain a jury trial. What should the lawyer do to secure the patent holder's right to a jury trial?",mmlu_pro,law,1058,File and serve a complaint that includes a jury trial demand.,File and serve a jury trial demand within 60 days after the close of the pleadings.,862
Who said that “Jurisprudence is the eye of law” ,mmlu_pro,law,1660,Laski,Dworkin,863
"An investor sued a corporation for stock fraud. In presenting his case-in-chief, the investor sought to introduce an issue of a newspaper to show the corporation's stock price on that given day. Upon objection by the corporation's attorney, this evidence should be",mmlu_pro,law,1067,"admitted, under the market reports exception.","excluded, because the newspaper is not a credible source.",864
"A buyer, located on the west coast contacted a seller, located on the east coast, about purchasing flanges that the buyer used in their manufacturing process. The parties entered into a contract whereby the seller agreed to deliver to the buyer 1,000 flanges for $10,000. The contract stipulated that it was FOB at the seller's place of business. The seller then delivered the flanges to a delivery company, which was to transport them to the buyer. While en route, the vehicle that was transporting the flanges was involved in an accident and the flanges were destroyed. When the buyer received notice of the accident, the buyer immediately contacted the seller and demanded that it ship replacement flanges. The seller refused to do so. In an action by the buyer against the seller for breach of contract, the buyer will",mmlu_pro,law,1616,"not succeed, because the risk of loss was on the buyer.","not succeed, because the accident was an unforeseen event.",865
"Bob Wilson borrowed $20,000 from Ted Lamar to open a hardware store. Ted's only interest in the business was the repayment of his 5-year unsecured loan. Bob was so grateful for the loan that he named his business ""Wilson and Lamar Hardware"" and purchased signs and advertising displaying this name. He also listed Bob Wilson and Ted Lamar as ""partners"" on his stationery. When Ted found out, he was flattered to the point that he voluntarily reduced Bob's interest rate from 9 percent to 8 percent per annum. A few weeks later, Pete Smith, who had assumed that both Wilson and Lamar were operating the hardware store and was not familiar with the true situation, sold goods to Wilson and Lamar Hardware. Pete Smith has been unable to collect for the goods and he seeks your advice. Your advice to Pete is",mmlu_pro,law,1585,Bob Wilson and Ted Lamar are liable jointly.,Neither Bob Wilson nor Ted Lamar is liable.,866
"A college student initiated a criminal case against his former roommate, claiming the former roommate snuck in and removed his state-of-the-art home theater equipment from his house. The college student took the complaint papers that were approved by the prosecution and filed them with a magistrate court. An ongoing police investigation later determined, however, that the college student was a vengeful person not averse to creating stories, and that he and the former roommate had been arguing over several related issues. They also determined that he never had any quality sound or video equipment. The police dropped the prosecution, and the criminal case was dismissed at the preliminary hearing. When the former roommate filed a civil case against the college student alleging the tort of malicious prosecution, will evidence of the student's reputation for dishonesty be admissible and why?",mmlu_pro,law,1419,"Yes, because even though character evidence is too collateral to be admitted for circumstantial evidence, it is admissible if it is directly at issue in the case.","No, because character evidence is never admissible in any case.",867
"A plaintiff sued the insurer of her home after the insurer denied coverage for water damage to the home allegedly caused by a frozen plastic pipe that burst. At trial, the insurer called as an expert witness an engineer, who testified that the pipe had burst because of age rather than freezing. On cross-examination, the engineer admitted that five years earlier, he had been convicted of tax fraud, even though he had asserted that it was his accountant's error. In response, the insurer calls a witness, who is well acquainted with the engineer and his reputation, to testify that (1) in the witness's opinion, the engineer is a truthful person, and (2) the engineer's neighbors all describe him as a truthful person. How much, if any, of the witness's testimony is admissible?",mmlu_pro,law,954,All of the testimony is admissible to support the engineer's credibility.,"All of the testimony is admissible, but the judge must instruct the jury to consider the engineer's past conviction.",868
"One afternoon a motorist was driving her car when she struck a pedestrian who entered the intersection. The pedestrian was seriously injured in the accident and sued the motorist to recover damages for personal injuries. There were no witnesses to the accident. The motorist claims that the traffic light was green at the time she entered the intersection. The pedestrian now has amnesia and cannot remember how the accident occurred. At trial, the pedestrian's attorney calls a witness to testify. The witness proposes to testify that she was in the emergency room at the hospital when the pedestrian was brought in following the accident. The witness further testifies that while the pedestrian was being treated for his injuries, the nurse asked him, ""How did you get hurt?"" The pedestrian replied, ""The car ran the red light and struck me as I was walking through the intersection. ""Upon objection, this evidence is",mmlu_pro,law,1824,"inadmissible, because it is hearsay not within any recognized exception.",admissible as a present sense impression.,869
"A woman attended a private university. One afternoon she was approached by a photographer for a magazine, who asked her if she would be interested in posing nude for an upcoming issue. The woman, who was an aspiring model, agreed and posed for a number of nude pictures, which subsequently appeared in the magazine. Afterward, administrators and professors at the university began to harass her for what they considered to be imprudent behavior. During class, her instructors frequently called her ""Playmate"" and ""Stripper. "" Consequently, the woman brought suit in federal court against the university, alleging harassment, and seeking an injunction and damages. After this action was instituted, the university signed a stipulation agreeing not to harass her in the future. The federal court should now",mmlu_pro,law,1983,hear the case.,dismiss the action because the woman agreed to pose for the pictures.,870
What is an act jure gestionis? ,mmlu_pro,law,1125,Acts jure gestionis are those undertaken by States in a private capacity,Acts jure gestionis are military actions undertaken by States,871
"A uniformed United States Park Policeman pulled over a motorist for going through a red light. The man reacted gruffly, telling the officer that he had no authority to stop him. There was a brief scuffle, and the officer issued two more charges, for disorderly conduct and failure to obey an officer. Eventually, the defendant pled guilty to the red light citation and the other two charges were dismissed. He then filed a federal court action against the park policeman in which he asserted a Bivens civil rights claim for false arrest and malicious prosecution. The first legal theory was that the park officer lacked authority to stop the plaintiff on a New York street and arrest him for a state traffic violation. He claimed that the officer was outside of his federal park land jurisdiction. Will the court likely uphold the authority of the park police under these facts?",mmlu_pro,law,1657,The U.S. Park Police have the authority to make a warrantless arrest for a state law violation because of statutory grants of authority from the various states.,"All U.S. Park Police officers have nationwide jurisdiction and can make arrests for any offenses, regardless of whether they occur on federal or state land.",872
"A passenger on a subway car placed her pocketbook on the seat next to her and began to zip up her jacket. Defendant was standing in front of the passenger and holding on to the hand rail. Seeing the pocketbook unattended, he suddenly grabbed it and tried to run away. As he did so, the passenger became very frightened and fell backward. She struck her head against the window and was knocked unconscious. In the commotion, Defendant dropped the pocketbook and hurriedly exited the subway car empty-handed. Defendant should be found guilty of",mmlu_pro,law,1030,larceny.,aggravated assault.,873
"A state labor code provided that no employer in the state shall knowingly employ an alien who is not lawfully residing in the United States if such employment would have an adverse effect on lawful residents' right to work. A group of immigrant farm workers were continually refused employment contracts by the labor contractors in the state. Instead, the labor contractors had employed many alien workers since they would toil longer hours for less wages. The immigrant farm workers now bring suit in state court pursuant to the above-mentioned statutory provision. Which of the following determinations would most likely result as a consequence of the immigrant farm workers' lawsuit?",mmlu_pro,law,1480,The court would declare the statute constitutional since the states are not preempted in the area of economic regulation of illegal aliens.,The court would declare the statute unconstitutional as it conflicts with federal labor laws.,874
"A homeowner died in 1985. His will devised his estate in a southern state to his uncle and his best friend ""to share and share alike as tenants in common. ""At the time of the homeowner's death, the uncle lived in a different part of the southern state (in which the estate was located), while the best friend resided in a northern state. After the homeowner's funeral, the uncle returned to his own residence, but the best friend decided to occupy the estate. He put his name on the mailbox and has paid the taxes and maintenance expenses. To earn extra money, the best friend rented a small house on the property to a teacher and received a monthly rental payment from her. The best friend also grew fruits on the property and sold them at a stand on Fridays. The uncle has been generally aware of this, but because he cared little about the estate, the uncle has never pressed the best friend about the property. Since 1985 the uncle has not paid any rent or other compensation to the best friend, nor has the best friend requested such payment. In January 2010, a series of disputes arose between the uncle and the best friend for the first time concerning their respective rights to the estate. The state in which the property is located recognizes the usual common law types of cotenancies and follows majority rules on rents and profits. There is no applicable legislation on the subject. The uncle brings an appropriate action for a portion of the proceeds that the best friend received from his fruit stand and a portion of the rent that the teacher paid. If the best friend contests the apportionment of the monies he received, judgment should be for whom?",mmlu_pro,law,1621,"As a cotenant in possession, the best friend retains the profits from his crops, and the uncle is entitled to a share of the rent paid by the teacher.",The uncle has forfeited all claims to the property and its profits due to his lack of interest and engagement.,875
"A landowner, her aunt, and her brother are the owners of three contiguous lots. A downward slope exists from the landowner's land to the brother'sland. The aunt, the owner in the middle of the three lots, was an amateur scientist. She began experimentation with electricity, using a lightning rod to conduct her experiments. Frequently, the electrical storms apparently originated in and over the area within which the brother's land is located. Because of this, the aunt would often angle her rod over the fence between her property and the brother's property to maximize her chances of success. After one entire rainy and windy season of experiments, the brother had grown tired of the aunt's lightning-rod intrusions because they interfered with his ham radio operations in his garage. The brother brought suit to enjoin such lightning-rod experiments. At trial, it was found that the aunt had been conducting her activities in the airspace directly above the brother's land. The court should",mmlu_pro,law,1266,enjoin the aunt's experiments because they constitute an unreasonable interference with the space above the brother's land.,enjoin the aunt's experiments because one does not have the right to engage in such scientific experiment without permission.,876
"One afternoon, police officers observed a man and a14-year-old girl smoking marijuana together. They arrested the man and charged him with the separate offenses of (1) possession of a controlled dangerous substance, and (2) contributing to the delinquency of a minor. The girl was also arrested and charged with being an accomplice to the crime of contributing to the delinquency of a minor. At trial, the girl's best defense is that",mmlu_pro,law,1010,"since the statute was designed to protect minors, the girl cannot be prosecuted as an accomplice.",she was unaware of the consequences of her actions due to her age.,877
"A purchaser signed an agreement of sale to buy real estate. It had a contingency clause requiring him to make a completed application for a mortgage within a specified time. It said that time was of the essence. The purchaser failed to apply but instead asked a mortgage broker friend for his opinion as to whether he would qualify. The seller told the purchaser that she rescinded the sale because there was no mortgage application within the agreed time. A few days later, the purchaser made a belated application and received approval, but the seller insisted on a rescission of the contract. Will the seller likely prevail in rescinding the transaction?",mmlu_pro,law,959,"Yes, because the purchaser did not make a timely application and lost the protection of the contingency clause.","No, because the approval of the belated application should allow the transaction to proceed.",878
"A bank teller was on trial for embezzlement. The prosecution offered into evidence the bank's daily deposit and tally records for a six month period, to show that total deposits did not reconcile with the total funds received and recorded. The prosecution tried to enter the records as exhibits without certification or the testimony of an official bank custodian of records. Defense counsel objected on the basis of hearsay. Is the court likely to order the evidence inadmissible without further proof of authenticity?",mmlu_pro,law,1339,"Yes, because a qualified bank employee must first authenticate them in person or provide a certification in compliance with the rules.","No, because the records are self-authenticating and do not require additional proof of authenticity.",879
"A husband and wife divorced after 17 years of marriage. They had one son, aged 10. As part of the divorce decree, the wife was given custody of the son, while the husband was entitled to weekend visitation. Thereafter, the husband accepted a new job in a neighboring state. Before relocating, the husband met with an attorney to seek his advice about how he could gain full custody of his son. The attorney told the husband that his new state did not give full faith and credit to divorce proceedings in his former state of residence. As a consequence, the attorney advised the husband that he could take the son to live with him and not be in violation of the law. This was erroneous legal advice, and his new state, in fact, did honor and give full faith and credit to other states' divorce decrees. When his next scheduled visitation took place, the husband picked up his son at his ex-wife's home. Instead of returning his son, he took him to live with him in his new state. After refusing to return his son to his ex-wife, the husband was subsequently arrested and charged with kidnapping. The applicable statute is defined as ""knowingly abducting a person and moving him or her to another location. ""Should the husband be found guilty of kidnapping?",mmlu_pro,law,1472,"No, because he lacked the requisite state of mind.","Yes, because he did not have the legal right to take his son to another state.",880
"A state legislature enacts a statute prohibiting the sale of contraceptive devices to married persons. This state statute prohibits the use of contraceptive devices by married persons. A physician who practices in the state brings suit in federal court challenging the constitutionality of the state contraceptive statute. The physician attacks the validity of the statute on the grounds that it prevents him from giving professional advice concerning the use of contraceptives to three patients, all of whom are married, whose condition of health might be endangered by child bearing. The plaintiff is likely",mmlu_pro,law,1032,not to have standing jus tertii.,to have standing.,881
"A landlord orally leased a commercial building to a tenant for a 10-year term, which ended one year ago. At the beginning of the lease term, the tenant installed numerous appliances in the building as well as a large air-conditioning system. The tenant alone paid for these items; they were installed with the landlord's permission and were used for the tenant's commercial enterprise. At the end of the lease term, the tenant failed to vacate the premises in a timely manner and continued to pay rent while remaining in possession for another four months. Before vacating the building at the end of the fourth month, the tenant removed the appliances and the air-conditioning system that he had installed, causing no damage to the building. Was the removal by the tenant proper?",mmlu_pro,law,1075,"Yes, because they were trade fixtures.","No, because the items were considered part of the property.",882
"A homeowner was injured when an automatic cutoff switch failed to function on a snowblower he was using. The cutoff switch had functioned well for a year after he purchased the snowblower but failed after the machine had been improperly repaired by a mechanic. The snowblower's operating manual contained a clear and prominent warning against making the very alteration to the switch mechanism that was made by the mechanic. The mechanic, however, did not have a manual available when he repaired the snowblower. Does the homeowner have a viable claim against the manufacturer of the snowblower for damages?",mmlu_pro,law,1812,"No, because the injury resulted from a substantial alteration of the snowblower by a third party. a third party.","Yes, because the snowblower should have had a backup safety system in place.",883
A baby born with pulmonary hypoplasia secondary to oligohydramnios caused by renal agenesis would be classified as having:,mmlu_pro,health,6661,a sequence.,a disruption.,884
"A 42-year-old woman is brought to the emergency department 10 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she has shortness of breath and abdominal pain. Her pulse is 135/min, respirations are 30/min, and blood pressure is 80/40 mm Hg. Breath sounds are decreased at the left lung base. An x-ray of the chest shows opacification of the left lower lung field with loss of the diaphragmatic shadow. Placement of a chest tube yields a small amount of air followed by greenish fluid. Which of the following is the most appropriate next step in management?",mmlu_pro,health,6117,Laparotomy,Immediate intubation,885
The muscles of the soft palate are innervated by branches of the,mmlu_pro,health,6027,trigeminal and vagus nerves.,facial and vagus nerves.,886
"Which of the following is a function of folate?
",mmlu_pro,health,6767,Synthesis of TMP (thymidine monophosphate),Conversion of fructose to glucose,887
Which of the following is recommended for cleaning the mouth?,mmlu_pro,health,6286,Water.,Mouthwash containing alcohol.,888
"A 30-year-old woman comes to the physician because of a 2-day history of abdominal pain. She has a history of recurrent upper respiratory tract infections, sinusitis, and pancreatitis. She has thick nasal secretions. She says that her sweat is salty and crystallizes on her skin. Her vital signs are within normal limits. Physical examination shows epigastric tenderness. Genetic testing for the 36 most common mutations shows a detectable mutation (G551D) in one allele of the CFTR gene. Which of the following best explains this patient's clinical phenotype?",mmlu_pro,health,6254,The second CFTR mutation was not detected by the testing obtained,The G551D mutation in CFTR does not cause symptoms,889
"A 40-year-old woman comes to the physician because of a 6-month history of increased facial hair growth. Her last menstrual period was 4 months ago. She is 165 cm (5 ft 5 in) tall and weighs 70 kg (154 lb); BMI is 26 kg/m2 . Her pulse is 80/min, and blood pressure is 130/82 mm Hg. Physical examination shows temporal balding and coarse dark hair on the upper lip and chin. Pelvic examination shows clitoral enlargement. Her serum testosterone concentration is increased. Serum concentrations of androstenedione, dehydroepiandrosterone, and urinary 17-ketosteroids are within the reference ranges. Ultrasonography of the pelvis shows a 12-cm ovarian mass. Which of the following best describes this mass? ",mmlu_pro,health,6232,Sertoli-Leydig tumor,Granulosa tumor,890
"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?",mmlu_pro,health,6145,"The nurse, patient, and ward clerk.","The consultant, named nurse, and GP.",891
A new severe respiratory illness caused by a newly identified virus is discovered. Which of the following properties of a killed vaccine relative to a live vaccine is the most appropriate rationale for developing a killed vaccine for this illness?,mmlu_pro,health,6762,Avoids the concern for reversion to virulence,Can be administered in higher doses,892
"During a study of renal glomeruli, a healthy animal kidney is kept in a vascular bath preparation at a constant afferent arterial pressure of 100 mm Hg. If the efferent arteriole is constricted with a vascular clamp, which of the following Starling forces is most likely to change in the glomeruli?",mmlu_pro,health,6107,Increased hydrostatic pressure,Increased oncotic pressure,893
"It is correct to state that for the treatment of Bulimia Nervosa:
 ",mmlu_pro,health,6700,Fluoxetine is considered of benefit,Therapies should primarily focus on food avoidance tactics,894
"Which of the following is not a function of vitamin A
",mmlu_pro,health,6766,Synthesis of the blood clotting proteins,Boosting immune system function,895
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",mmlu_pro,health,6565,If survival time with the disease increases.,If the disease's incubation period decreases.,896
"With respect to job training, younger workers",mmlu_pro,health,6092,Receive more opportunities than older workers,Are not interested in job training,897
"A 46-year-old woman, gravida 1, para 1, comes to the office because of a 2-week history of black discharge from her right nipple. The patient had mammography and ultrasonography of the breasts 2 months ago for evaluation of increased glandularity, palpated in the upper outer quadrant of the right breast, noted at her most recent annual examination. The studies showed likely benign findings with recommended follow-up in 6 months. Medical history is otherwise unremarkable and she takes no medications. BMI is 30 kg/m2 . Vital signs are normal. Palpation of the right breast discloses glandularity in the upper outer quadrant but no other masses. There is scant, black discharge from the right nipple. Which of the following is the most appropriate next step in diagnosis?",mmlu_pro,health,6611,MRI of the right breast,Start on antifungal treatment,898
A 16-year-old male is brought to the emergency department with sudden-onset swelling of the right knee. He denies any trauma. Past medical history reveals cystic fibrosis. Examination of the knee reveals fluctuance on palpation of the joint but no increased warmth; mild restriction in range of motion due to the swelling is also noted. Numerous bruises are noted in various stages of resolution. Further history reveals easy bruising and bleeding from the gums over the past month. The most likely explanation for these findings is,mmlu_pro,health,6438,"malabsorption of vitamins A, D, E, and K",diffuse intravascular coagulation secondary to infection,899
"A 23-year-old woman with bone marrow failure is treated with a large dose of rabbit antithymocyte globulin. Ten days later, she develops fever, lymphadenopathy, arthralgias, and erythema on her hands and feet. Which of the following is the most likely cause of these symptoms?",mmlu_pro,health,6034,Immune complex deposition in tissues,Increased production of interferon-gamma,900
A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.,mmlu_pro,health,6032,Pupillary constriction and vasodilation of facial vessels,"Pupillary constriction, vasodilation of facial vessels and increased facial sweating",901
Simple tandem repeat polymorphisms in humans are most useful for,mmlu_pro,health,6098,solving criminal and paternity cases,estimating relationships of humans and Neanderthals,902
Examination of a patient indicates that they have a medially directed strabismus (squint). This could be due to damage to the ,mmlu_pro,health,6227,abducens nerve.,hypoglossal nerve.,903
"A 31-year-old man with a 5-year history of HIV infection comes to the office because of anal pain, particularly on defecation, for the past 4 months. He says he has seen spots of blood on the toilet tissue but has not had any other noticeable bleeding. He reports no change in bowel habits and has not had recent fever, chills, or rectal drainage. He says he and his partner engage in anal-receptive intercourse. His most recent CD4+ T-lymphocyte count 2 months ago was 350/mm3 ; HIV viral load at that time was undetectable. He currently is being treated with antiretroviral therapy. He has had no opportunistic infections. Medical history is also significant for syphilis and genital herpes treated with penicillin and acyclovir, respectively. He does not smoke cigarettes or drink alcoholic beverages. Vital signs are normal. Physical examination shows small bilateral inguinal lymph nodes, but respiratory, cardiac, and abdominal examinations disclose no abnormalities. There are several tender fleshy lesions around the perianal area. Rectal examination produces tenderness, but there is no rectal discharge. Test of the stool for occult blood is trace positive. Which of the following is the most appropriate pharmacotherapy at this time?",mmlu_pro,health,6242,Imiquimod,Acyclovir,904
"The electron transport chain, which is embedded in the mitochondrial membrane, exists primarily to generate new molecules of ATP for use by the cell. This is accomplished by a positive gradient of H+ ions that are formed outside the membrane which then pass back through a specialized channel known as ATP synthase. The energy created from this phosphorylates an ATP to an ATP, known as oxidative phosphorylation. The mechanism by which H+ returns to the inside of the mitochondria is known as what?",mmlu_pro,health,6523,Passive transport,Osmosis,905
"What is food security?
",mmlu_pro,health,6623,"Its component elements include availability, utilisation, and stability, as well as access.",It is about ensuring that food prices are controlled and affordable for everyone.,906
The coronary arteries,mmlu_pro,health,6029,arise from the ascending aorta and fill during diastole.,arise from the arch of the aorta and do not fill during either systole or diastole.,907
"Which of the following cannot be a substrate for gluconeogenesis?
",mmlu_pro,health,6581,Palmitic acid,Lactic acid,908
The normal respiratory rate for an adult male is:,mmlu_pro,health,6207,14-16 breaths per minute.,12-14 breaths per minute.,909
Which of the following structures is derived from ectomesenchyme?,mmlu_pro,health,6741,Melanocytes,Pancreatic cells,910
"An investigator is studying the incidence of the common cold among medical students at various time points during the school year. Results show an increased incidence of upper respiratory tract infections among these students during finals week. It is hypothesized that the stress of studying for examinations adversely affects the immune system, making the students more susceptible to infection. Which of the following laboratory findings in these students during examination week is most likely to support this hypothesis?",mmlu_pro,health,6672,Increased AM serum cortisol concentration,Decreased neutrophil count,911
"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",mmlu_pro,health,6726,The named consultant.,The hospital CEO.,912
"A sexually active 20-year-old woman has had fever, chills, malaise, and pain of the vulva for 2 days. Examination shows a vulvar pustule that has ulcerated and formed multiple satellite lesions. Nodes are palpated in the inguinal and femoral areas. A smear of fluid from the lesions establishes the diagnosis. Which of the following is the most likely causal organism?",mmlu_pro,health,6435,Haemophilus ducreyi,Mycoplasma genitalium,913
The phrenic nerves innervate the,mmlu_pro,health,6229,"diaphragm, parietal pleura and pericardium.",diaphragm and pericardium.,914
Insensible loss does not come from:,mmlu_pro,health,6465,excessive weight loss.,pyrexia.,915
"A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test. The test was done as part of a routine screening for enrollment in a homeless shelter. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive. They say they were born in this country and tell you that their daughter has always been in good health. She has not had much medical care in the past 2 years but she has been healthy. Until moving into this shelter they had been ""squatters"" in vacant buildings. Which of the following is the most appropriate step at this time?",mmlu_pro,health,6610,Order a chest x-ray,Call her previous physician to obtain more history,916
Which of the following could very well be a cohort difference rather than a change that occurs with age?,mmlu_pro,health,6289,Differences in weight,Loss of muscle mass,917
Which of the following releases most energy when completely oxidised in the body?,mmlu_pro,health,6007,One gram of palmitic acid,One gram of leucine,918
Loss of stomach lining can lead to symptoms that resemble,mmlu_pro,health,6785,Dementia,Parkinson's disease,919
Primary motor cortex activity results in,mmlu_pro,health,6166,contraction of contralateral limb musculature.,relaxation of ipsilateral limb musculature.,920
The pulse can be palpated:,mmlu_pro,health,6722,when an artery is close to the surface of the skin.,when a vein is close to the surface of the skin.,921
The respiratory tract is crossed by the isthmus of the thyroid gland at the level of the,mmlu_pro,health,6353,tracheal rings.,thyroid cartilage.,922
Autozygosity mapping is used to map disorders that show which pattern of inheritance?,mmlu_pro,health,6162,Autosomal recessive,Mitochondrial inheritance,923
In which of the following positions does a patient lie face down?,mmlu_pro,health,6224,Erect,Prone,924
Which of one of the following statements about the postnatal growth of the maxilla is correct?,mmlu_pro,health,6789,The zygomaticomaxillary sutures contribute to increase in height and length of the maxilla,The zygomaticomaxillary sutures do not contribute to the growth of the maxilla,925
The presence of two or more cell lines from different zygotes in a single individual is known as:,mmlu_pro,health,6349,chimaerism.,polyploidy.,926
The proportion of genes shared by first cousins is on average ___.,mmlu_pro,health,6097,1.0/8,1.0/32,927
Which of the following is the commonest cause of dementia in the UK?,mmlu_pro,health,6395,Alzheimer's disease.,Creutzfeldt-Jakob disease.,928
"A patient cuts a peripheral motor nerve in their wrist when they fall through a plate glass window. If the nerve does not regenerate, after about 6 months the muscles it normally innervates will show signs of which of the four options below?",mmlu_pro,health,6102,atrophy,muscle stiffness,929
"A 38-year-old man with Down syndrome and severe mental retardation is brought to the emergency department by ambulance because of increasing lethargy for the past several hours. The patient is noncommunicative and you are unable to obtain an initial history of his present illness or a past medical history. You do not know if he takes any medications. Vital signs are temperature 38.3°C (100.9°F), pulse 90/min, respirations 19/min, and blood pressure 120/60 mm Hg. On physical examination the patient is awake but lethargic. Auscultation of the chest discloses clear lungs; cardiac examination discloses a systolic click. Neurologic examination shows decreased muscle tone. Serum electrolyte concentrations are normal. Complete blood count shows a leukocyte count of 18,000/mm3 with 23% band neutrophils. The patient's caregiver, who is also the patient's guardian, cannot be located and staff at the group home where the patient resides cannot be reached by telephone. The patient refuses lumbar puncture for examination of cerebrospinal fluid. Toxicologic screening of the urine is negative. Which of the following is the most appropriate next step?",mmlu_pro,health,6373,Administer intravenous antibiotics,Wait for the patient's consent for a lumbar puncture,930
"A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made. Which of the following signs, if present on physical examination, would be the most specific indicator of pulmonary arterial hypertension in this patient?",mmlu_pro,health,6357,P2 louder than A2,Increased jugular venous pressure,931
"Which of the following statements is incorrect regarding fatty acid ß-oxidation?
",mmlu_pro,health,6625,"The major site of fatty acid ß-oxidation is the peroxisomes, the mitochondria also contain enzymes for this pathway",Within the liver peroxisomes serve to oxidise very long chain fatty acids to medium chain products,932
"The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?
",mmlu_pro,health,6274,Cohort,Randomised controlled,933
The vibrational frequency of $I_2$ is $208 \mathrm{~cm}^{-1}$. At what temperature will the population in the first excited state be half that of the ground state?,mmlu_pro,physics,9272,432 $\mathrm{~K}$,500 $\mathrm{~K}$,934
A car starts from rest and reaches a speed of 30 miles per hour in 8 seconds. What is its acceleration?,mmlu_pro,physics,9095,5.5 ft per sec per sec,6.5 ft per sec per sec,935
"If a rock sample is found to contain approximately 1 polonium atom ^214 _84 Po for every 8.7 × 10^20 uranium nuclei ^238 _92 U, what is the half-life of polonium.",mmlu_pro,physics,9607,1.6 × 10^4 seconds,4 × 10^4 seconds,936
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",mmlu_pro,physics,9545,hydrogen,The speed of the gases is independent of their type and depends solely on their volume,937
